time x y vx vy mass
0 0 0 0 0 1000
0.01 0.00141375 0.000433214 0.141375 0.0433214 999.5
0.02 0.00424194 0.00130034 0.282819 0.086713 999
0.03 0.00848525 0.0026021 0.424331 0.130175 998.5
0.04 0.0141443 0.00433917 0.56591 0.173708 998
0.05 0.0212199 0.00651228 0.707558 0.217311 997.5
0.06 0.0297127 0.00912212 0.849274 0.260984 997
0.07 0.0396232 0.0121694 0.991057 0.304728 996.5
0.08 0.0509523 0.0156548 1.13291 0.348543 996
0.09 0.0637006 0.0195791 1.27483 0.392428 995.5
0.1 0.0778688 0.023943 1.41682 0.436384 995
0.11 0.0934575 0.0287471 1.55887 0.480411 994.5
0.12 0.110467 0.0339922 1.701 0.524509 994
0.13 0.128899 0.0396789 1.84319 0.568677 993.5
0.14 0.148754 0.0458081 1.98545 0.612917 993
0.15 0.170032 0.0523804 2.12778 0.657227 992.5
0.16 0.192733 0.0593964 2.27017 0.701608 992
0.17 0.21686 0.0668571 2.41263 0.746061 991.5
0.18 0.242411 0.0747629 2.55517 0.790584 991
0.19 0.269389 0.0831147 2.69777 0.835179 990.5
0.2 0.297793 0.0919131 2.84043 0.879844 990
0.21 0.327625 0.101159 2.98317 0.924581 989.5
0.22 0.358885 0.110853 3.12597 0.96939 989
0.23 0.391573 0.120996 3.26884 1.01427 988.5
0.24 0.425691 0.131588 3.41178 1.05922 988
0.25 0.461239 0.14263 3.55479 1.10424 987.5
0.26 0.498217 0.154124 3.69786 1.14934 987
0.27 0.536627 0.166069 3.841 1.1945 986.5
0.28 0.576469 0.178466 3.98421 1.23974 986
0.29 0.617744 0.191316 4.12749 1.28505 985.5
0.3 0.660453 0.204621 4.27083 1.33043 985
0.31 0.704595 0.218379 4.41425 1.37588 984.5
0.32 0.750172 0.232593 4.55773 1.4214 984
0.33 0.797185 0.247263 4.70128 1.467 983.5
0.34 0.845634 0.26239 4.84489 1.51266 983
0.35 0.89552 0.277974 4.98858 1.5584 982.5
0.36 0.946843 0.294016 5.13233 1.60421 982
0.37 0.999605 0.310517 5.27615 1.6501 981.5
0.38 1.05381 0.327478 5.42003 1.69605 981
0.39 1.10944 0.344899 5.56399 1.74208 980.5
0.4 1.16653 0.36278 5.70801 1.78818 980
0.41 1.22505 0.381124 5.8521 1.83435 979.5
0.42 1.28501 0.39993 5.99626 1.88059 979
0.43 1.34641 0.419199 6.14048 1.92691 978.5
0.44 1.40926 0.438932 6.28477 1.9733 978
0.45 1.47355 0.459129 6.42913 2.01976 977.5
0.46 1.53929 0.479792 6.57356 2.06629 977
0.47 1.60647 0.500921 6.71806 2.11289 976.5
0.48 1.67509 0.522517 6.86262 2.15957 976
0.49 1.74517 0.54458 7.00725 2.20632 975.5
0.5 1.81669 0.567111 7.15194 2.25314 975
0.51 1.88965 0.590112 7.29671 2.30004 974.5
0.52 1.96407 0.613582 7.44154 2.34701 974
0.53 2.03993 0.637522 7.58644 2.39405 973.5
0.54 2.11725 0.661934 7.73141 2.44116 973
0.55 2.19601 0.686817 7.87644 2.48834 972.5
0.56 2.27623 0.712173 8.02154 2.5356 972
0.57 2.35789 0.738003 8.16671 2.58294 971.5
0.58 2.44101 0.764306 8.31195 2.63034 971
0.59 2.52559 0.791084 8.45725 2.67782 970.5
0.6 2.61161 0.818338 8.60262 2.72537 970
0.61 2.69909 0.846068 8.74806 2.77299 969.5
0.62 2.78803 0.874275 8.89356 2.82069 969
0.63 2.87842 0.902959 9.03914 2.86846 968.5
0.64 2.97027 0.932122 9.18477 2.9163 968
0.65 3.06357 0.961765 9.33048 2.96422 967.5
0.66 3.15834 0.991887 9.47625 3.01221 967
0.67 3.25456 1.02249 9.6221 3.06027 966.5
0.68 3.35224 1.05357 9.768 3.10841 966
0.69 3.45138 1.08514 9.91398 3.15662 965.5
0.7 3.55198 1.11719 10.06 3.2049 965
0.71 3.65404 1.14972 10.2061 3.25326 964.5
0.72 3.75756 1.18274 10.3523 3.30169 964
0.73 3.86255 1.21624 10.4985 3.35019 963.5
0.74 3.96899 1.25023 10.6449 3.39877 963
0.75 4.07691 1.2847 10.7912 3.44742 962.5
0.76 4.18628 1.31966 10.9377 3.49614 962
0.77 4.29713 1.35511 11.0842 3.54494 961.5
0.78 4.40943 1.39105 11.2308 3.59381 961
0.79 4.52321 1.42748 11.3774 3.64276 960.5
0.8 4.63845 1.4644 11.5241 3.69178 960
0.81 4.75516 1.5018 11.6709 3.74088 959.5
0.82 4.87334 1.53971 11.8177 3.79004 959
0.83 4.99298 1.5781 11.9647 3.83929 958.5
0.84 5.1141 1.61698 12.1116 3.8886 958
0.85 5.23669 1.65636 12.2587 3.93799 957.5
0.86 5.36074 1.69624 12.4058 3.98746 957
0.87 5.48627 1.73661 12.553 4.037 956.5
0.88 5.61328 1.77747 12.7002 4.08661 956
0.89 5.74175 1.81884 12.8475 4.1363 955.5
0.9 5.8717 1.8607 12.9949 4.18606 955
0.91 6.00312 1.90306 13.1424 4.2359 954.5
0.92 6.13602 1.94592 13.2899 4.28581 954
0.93 6.2704 1.98927 13.4374 4.33579 953.5
0.94 6.40625 2.03313 13.5851 4.38585 953
0.95 6.54358 2.07749 13.7328 4.43599 952.5
0.96 6.68238 2.12235 13.8806 4.4862 952
0.97 6.82267 2.16772 14.0284 4.53648 951.5
0.98 6.96443 2.21359 14.1763 4.58684 951
0.99 7.10767 2.25996 14.3243 4.63727 950.5
1 7.2524 2.30684 14.4724 4.68778 950
1.01 7.3986 2.35422 14.6205 4.73836 949.5
1.02 7.54629 2.40211 14.7686 4.78902 949
1.03 7.69546 2.45051 14.9169 4.83975 948.5
1.04 7.84611 2.49941 15.0652 4.89056 948
1.05 7.99824 2.54883 15.2136 4.94144 947.5
1.06 8.15186 2.59875 15.362 4.9924 947
1.07 8.30697 2.64919 15.5105 5.04343 946.5
1.08 8.46356 2.70013 15.6591 5.09454 946
1.09 8.62164 2.75159 15.8077 5.14573 945.5
1.1 8.7812 2.80356 15.9564 5.19699 945
1.11 8.94225 2.85604 16.1052 5.24832 944.5
1.12 9.10479 2.90904 16.2541 5.29973 944
1.13 9.26882 2.96255 16.403 5.35121 943.5
1.14 9.43434 3.01658 16.5519 5.40277 943
1.15 9.60135 3.07112 16.701 5.45441 942.5
1.16 9.76985 3.12619 16.8501 5.50612 942
1.17 9.93985 3.18176 16.9992 5.55791 941.5
1.18 10.1113 3.23786 17.1485 5.60977 941
1.19 10.2843 3.29448 17.2978 5.66171 940.5
